sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
0,三峽區,三峽中山公園,24.93561,121.36584,15.0,2.3,6.8,0.0,4.1,1.1
1,三峽區,三峽區公所(三峽老街),24.9339,121.36929,33.0,3.1,11.2,0.0,7.6,0.0
2,三峽區,三峽區礁溪行政中心,24.92843,121.37592,20.0,3.9,10.5,0.0,6.0,0.3
3,三峽區,三峽原住民族生活文化園區,24.94565,121.36672,31.0,1.2,13.3,0.0,11.3,0.0
4,三峽區,三峽國中,24.9389,121.369,33.0,12.7,16.0,0.0,0.0,0.1
5,三峽區,三峽國光青年社會住宅,24.93743,121.37686,30.0,6.7,14.2,0.0,6.5,1.7
6,三峽區,三峽國小(中山路),24.93474,121.36779,21.0,1.2,6.5,0.0,4.5,2.1
7,三峽區,三樹大學路口,24.93951,121.37816,24.0,4.5,7.8,0.0,0.0,29.2
8,三峽區,三樹大德路口,24.94163,121.37871,15.0,5.4,6.8,0.0,0.0,3.7
9,三峽區,三鶯國民運動中心,24.93697,121.36858,17.0,4.1,9.4,0.0,4.7,0.3
10,三峽區,三鶯國民運動中心停車場,24.93614,121.36941,32.0,4.1,13.9,0.0,9.2,0.1
11,三峽區,中園國小,24.927563,121.36674,20.0,4.7,8.2,0.0,0.0,2.4
12,三峽區,中園國小(民權街),24.92853,121.36767,19.0,3.2,7.7,0.0,4.1,1.7
13,三峽區,中園街福隆宮,24.92239,121.36717,15.0,2.8,6.6,0.0,3.4,1.6
14,三峽區,中山科學研究院,24.90328,121.35512,14.0,0.4,7.0,0.0,5.0,0.0
15,三峽區,中華愛國路口,24.9327,121.37462,10.0,4.3,5.7,0.0,0.0,3.8
16,三峽區,介壽國小,24.93026,121.37912,26.0,2.3,12.1,0.0,9.5,0.0
17,三峽區,光明停車場,24.93036,121.3741,15.0,2.1,6.4,0.0,4.0,0.3
18,三峽區,光明路69巷口,24.92918,121.37726,17.0,2.0,7.5,0.0,5.2,0.0
19,三峽區,八安大橋(清水街),24.92701,121.36891,10.0,2.8,5.1,0.0,0.0,2.5
20,三峽區,北大高中,24.9492,121.37505,23.0,2.2,7.8,0.0,5.3,1.0
21,三峽區,國光街330巷口,24.93942,121.37212,16.0,5.3,6.9,0.0,0.0,0.7
22,三峽區,國慶三樹路口,24.93826,121.37738,20.0,0.4,2.7,0.0,0.7,70.6
23,三峽區,國慶學成路口,24.94095,121.37397,10.0,4.3,3.7,1.2,0.0,10.5
24,三峽區,國立臺北大學(三峽校區),24.94594,121.3729,63.0,13.5,25.3,0.0,0.0,0.6
25,三峽區,國際二國學街口,24.94319,121.37233,15.0,5.6,6.5,0.0,0.0,9.3
26,三峽區,大同路270巷口,24.92526,121.36551,15.0,2.8,5.6,0.0,0.0,2.4
27,三峽區,大學學成路口,24.94298,121.37521,11.0,6.1,6.5,0.5,0.0,4.9
28,三峽區,大德學勤路口,24.94634,121.37506,15.0,6.6,5.8,1.8,0.0,5.4
29,三峽區,大智中山路口,24.93708,121.36059,20.0,6.0,10.1,0.0,0.0,2.5
30,三峽區,大義三樹路口,24.94357,121.37899,14.0,5.9,6.3,0.5,0.0,6.6
31,三峽區,學勤大觀路口,24.94584,121.3743,15.0,6.0,7.0,0.0,0.0,10.5
32,三峽區,學府大學路口,24.94779,121.3718,18.0,5.4,7.6,0.0,0.0,5.2
33,三峽區,學府大德路口,24.94864,121.37362,12.0,4.9,5.4,0.3,0.0,4.5
34,三峽區,學成大德路口,24.94334,121.37634,19.0,6.9,7.4,0.6,0.0,10.2
35,三峽區,學成大義路口(學成路一),24.94477,121.37803,13.0,4.3,5.7,0.0,0.0,2.3
36,三峽區,安溪國中,24.92638,121.37185,20.0,1.8,6.0,0.0,3.9,21.5
37,三峽區,安溪國小,24.93122,121.37265,27.0,5.5,9.5,0.0,0.0,5.1
38,三峽區,復興民生街口,24.93696,121.3734,32.0,4.7,9.1,0.0,0.0,41.2
39,三峽區,恩主公醫院,24.93891,121.36355,54.0,13.4,20.2,0.0,0.0,0.0
40,三峽區,捷運三峽站,24.93835,121.37656,61.0,0.0,20.0,0.0,18.0,0.0
41,三峽區,捷運橫溪站,24.93759,121.39136,43.0,0.0,12.0,0.0,10.0,0.0
42,三峽區,捷運臺北大學站(1號出口),24.93909,121.36739,47.0,0.0,14.0,0.0,12.0,0.0
43,三峽區,捷運臺北大學站(2號出口),24.93883,121.36712,86.0,0.0,17.0,0.0,15.0,0.0
44,三峽區,捷運長壽山站,24.94495,121.40267,23.0,0.0,8.0,0.0,6.0,0.0
45,三峽區,捷運龍埔站,24.9393,121.38461,72.0,0.0,21.0,0.0,19.0,0.0
46,三峽區,新北市客家文化園區,24.94207,121.36034,20.0,2.5,11.5,0.0,8.7,0.3
47,三峽區,明德高中,24.90742,121.36472,52.0,2.1,15.1,0.0,12.7,0.0
48,三峽區,民族街78巷口,24.93021,121.36986,11.0,2.9,6.0,0.0,2.7,1.0
49,三峽區,海洋公園,24.94776,121.37676,25.0,10.1,8.6,3.0,0.0,0.0
50,三峽區,添福里(添福15號之33),24.90475,121.37254,16.0,0.4,8.7,0.0,6.7,0.1
51,三峽區,溪東市民活動中心,24.93192,121.40753,20.0,0.6,9.7,0.0,7.7,0.7
52,三峽區,臺北大學(音律資訊大樓),24.94278,121.36992,55.0,10.5,21.4,0.0,9.3,0.8
53,三峽區,臺北大學公共事務大樓(公政大道),24.94325,121.37121,23.0,4.9,7.8,0.0,0.0,0.1
54,三峽區,臺北大學公共事務大樓(法商大道),24.94363,121.37212,22.0,2.5,8.6,0.0,5.8,1.1
55,三峽區,臺北大學商學院(尋鳶大道),24.94557,121.37249,11.0,3.2,4.3,0.0,0.0,1.8
56,三峽區,臺北大學商學院(法商大道),24.94499,121.37146,26.0,7.6,8.8,0.0,0.0,0.0
57,三峽區,臺北大學宿舍(學成路),24.94092,121.36856,20.0,7.9,10.3,0.0,0.0,1.3
58,三峽區,臺北大學懷德居木師基地,24.94334,121.36743,14.0,1.1,6.3,0.0,4.3,0.6
59,三峽區,臺北大學法學院(鳶飛大道),24.94438,121.37333,29.0,1.1,8.7,0.0,6.7,0.1
60,三峽區,臺北大學田徑場(體風路),24.9395,121.36433,30.0,4.7,9.4,0.0,4.0,0.8
61,三峽區,臺北大學社科院(公政大道),24.94441,121.3701,25.0,4.0,8.5,0.0,3.9,0.3
62,三峽區,臺北大學社科院(圖資大道),24.94396,121.36912,27.0,0.6,8.8,0.0,6.8,0.1
63,三峽區,臺北大學蓮池,24.94723,121.37117,24.0,3.3,8.7,0.0,4.8,0.7
64,三峽區,臺北大學行政大樓(公政大道),24.94457,121.37037,34.0,3.5,11.2,0.0,7.2,0.0
65,三峽區,臺北大學行政大樓(法商大道),24.94494,121.3712,23.0,5.2,10.0,0.0,0.0,0.0
66,三峽區,臺北大學隆恩哨(忘憂路),24.94254,121.36547,15.0,1.5,8.3,0.0,6.3,0.1
67,三峽區,臺北大學體育館,24.93974,121.36688,22.0,8.5,10.3,0.0,0.0,1.4
68,三峽區,薇多綠雅社區(活動中心),24.90955,121.35727,15.0,0.7,7.7,0.0,5.7,0.1
69,三峽區,薇多綠雅社區(警衛亭),24.90883,121.35816,19.0,2.4,9.8,0.0,7.1,0.6
70,三峽區,長泰街40巷口,24.93234,121.37811,17.0,0.4,8.3,0.0,6.3,0.0
71,三峽區,龍埔三樹路98巷口,24.93989,121.38393,42.0,0.9,13.3,0.0,11.3,0.0
72,三峽區,龍埔介壽路口,24.93513,121.39008,30.0,1.5,9.6,0.0,7.6,0.7
73,三峽區,龍埔公園,24.93841,121.3742,28.0,6.7,12.9,0.0,0.0,1.1
74,三峽區,龍埔國小,24.94104,121.37676,35.0,9.3,16.4,0.0,0.0,0.7
75,三峽區,龍埔自行車道(民生街1巷),24.93455,121.37824,20.0,4.2,9.3,0.0,4.4,0.1
76,三峽區,龍恩公園,24.94135,121.37052,26.0,5.4,9.4,0.0,0.0,3.8
77,三芝區,三生步道,25.26815,121.51005,20.0,0.1,5.1,0.0,3.1,0.0
78,三芝區,三芝兒一公園,25.25719,121.4994,15.0,0.4,6.7,0.0,4.7,0.0
79,三芝區,三芝兒三公園(三民街),25.25874,121.50499,17.0,1.8,7.0,0.0,4.9,1.4
80,三芝區,三芝區公所,25.25788,121.50082,15.0,0.5,5.8,0.0,3.8,0.0
81,三芝區,三芝國中,25.25898,121.50182,14.0,0.5,6.1,0.0,4.1,0.6
82,三芝區,櫻花水車公園,25.25119,121.50125,15.0,0.4,5.2,0.0,3.2,0.0
83,三芝區,淺水灣,25.25232,121.47131,48.0,0.6,8.9,0.0,6.9,0.1
84,三芝區,馬偕醫學大學(圓環),25.25438,121.49571,20.0,0.3,9.9,0.0,7.9,0.0
85,三芝區,馬偕醫學大學(第二教研大樓),25.25303,121.49559,26.0,0.2,9.9,0.0,7.9,0.0
86,三重區,三信集英路口,25.08563,121.48748,13.0,5.8,5.4,1.2,0.0,21.0
87,三重區,三光國小(金滿意),25.05596,121.49687,45.0,18.5,27.2,0.0,0.0,2.5
88,三重區,三和國中(自強路三段110巷),25.0748,121.48694,22.0,5.1,9.5,0.0,0.0,0.3
89,三重區,三和慈愛街口,25.07814,121.48417,11.0,4.3,4.7,0.3,0.0,24.3
90,三重區,三和路四段73號旁,25.07513,121.48977,15.0,2.2,6.9,0.0,4.3,1.1
